('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    85/79    0.000    0.000    0.002    0.000 typing.py:392(inner)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        2    0.000    0.000    0.802    0.401 connectionpool.py:592(urlopen)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      331    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      375    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
       20    0.000    0.000    0.009    0.000 <frozen zipimport>:64(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    1.801    1.801 financial.py:1(<module>)
      514    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        3    0.000    0.000    0.028    0.009 utils.py:1(<module>)
       20    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      502    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       26    0.000    0.000    0.001    0.000 typing.py:687(Union)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      334    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.019    0.019 dammit.py:67(EntitySubstitution)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
    77/44    0.000    0.000    0.258    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      159    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       20    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    1.144    1.144 financial.py:6(parse_financial)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
       68    0.000    0.000    0.730    0.011 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      222    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       42    0.000    0.000    0.199    0.005 response.py:1151(_handle_chunk)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      2/1    0.000    0.000    1.010    1.010 sessions.py:673(send)
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      160    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.055    0.055 css_parser.py:1(<module>)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      500    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.012    0.006 request.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
      503    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      174    0.000    0.000    0.003    0.000 _parser.py:98(closegroup)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.010    0.010 css_match.py:1(<module>)
